,kiwerUsername,clientId,restaurantId,restaurant.location.lat,restaurant.location.lng,location.lat,location.lng,rating,created,courierArrived,pickedUp,botLoaded,waitingForClient,closed
2814,gonzalocamps,5a6e9b7a40cd540004f8977a,59b748bf56778d00043665fe,37.867973,-122.258093,37.8699777,-122.2685839,5.0,1548469306501,1548469665257,1548470653907,1548471006608,None,1548472097643
2815,valeria,5b873ef5a053d7000478dfd2,5aabf6e84ef649000430bbb7,37.870027,-122.268592,37.8763831,-122.25929889999998,,1548467434589,1548467530899,1548467583638,1548467746776,1548468761872,1548469885624
2816,dianaleano,5bda8486e509160004383b5d,5af64b729a5f6700041b7ffc,37.86601,-122.267114,37.8617272,-122.26514039999999,3.0,1548467324883,1548468353929,1548468475309,1548468699396,1548470563544,1548470715960
2818,dianaleano,589bbda1100ca50004796e34,57f337b847030d0003357669,37.868349,-122.258907,37.865167499999984,-122.26447265625,5.0,1548466660833,1548467339654,1548467359310,1548467825380,1548469665829,1548469955659
2819,dianaleano,5a2862f1de4a96000419e0e9,5aabf6e84ef649000430bbb7,37.870027,-122.268592,37.869940799999995,-122.26837719999999,5.0,1548466003153,1548466201753,1548466280722,1548467574413,1548467607812,1548467759001
2820,dianaleano,5c4bb44bccf0b9000466d86b,58a6615b4432ee00048187d3,37.872342,-122.268696,37.87257379999999,-122.260848,,1548465379304,1548465643718,1548465918067,1548466314680,1548467472013,1548467672029
2821,dianaleano,5a73e76281baaa0004f3ce77,5c476771483cc3000408d99d,37.872342,-122.268696,37.869940799999995,-122.26837719999999,5.0,1548464403006,1548465634395,1548465925376,1548466092306,1548466557991,1548466851777
2822,johan,5b877115a053d7000478e01f,5aabf6e84ef649000430bbb7,37.870027,-122.268592,37.8642305,-122.26357200000001,,1548463216282,1548463838442,1548463854015,1548464354019,None,1548465129888
2823,carlos,5ad03958a6f0580004f12118,5aabf6e84ef649000430bbb7,37.870027,-122.268592,37.8717112,-122.2705745,5.0,1548461273260,1548461792513,1548462124542,1548462550384,1548463984761,1548464941579
2824,cristianmaldonado,5ba1d161ef75350004331ff4,5aabf6e84ef649000430bbb7,37.870027,-122.268592,37.864333,-122.2504148,3.0,1548460237746,1548460594109,1548460621541,1548460646460,1548462172302,1548462242690
2825,johan,5ba18475ae5c0b0004302e93,5aabf6e84ef649000430bbb7,37.870027,-122.268592,37.873889,-122.2566151,5.0,1548458273368,1548458946999,1548458988834,1548459426381,1548461181748,1548461282907
2826,cristianmaldonado,5ba1a8edef75350004331f68,589c1ea76147000004e8f095,37.867629,-122.259662,37.86420749999999,-122.25036328125,1.0,1548457585468,1548459950101,1548460230721,1548460531292,1548461985245,1548462400349
2827,carlos,5c478c3729fc3d00044a2878,59b19f296d3d840004daf64a,37.868025,-122.259148,37.87078100000001,-122.26800999999999,5.0,1548454753463,1548459923552,1548460130346,1548460141761,None,1548460862052
2828,johan,5b7143410657650004046265,57f337b847030d0003357669,37.868349,-122.258907,37.8726327,-122.2537428,,1548454734981,1548459658317,1548459755486,1548460266494,1548461785602,1548461937019
2829,johan,5c009325bf28880004e85e4a,589c1ea76147000004e8f095,37.867629,-122.259662,37.864252,-122.2641544,,1548454412356,1548456105828,1548456517760,1548457094853,1548461375299,1548461448080
2830,valeria,5bc8e6086b53a30004e6b706,5ba40c85636b4b0004648f28,37.8672895,-122.2590007,37.8681759,-122.2505003,5.0,1548454206778,1548456112325,1548456147867,1548456699613,1548457911464,1548458185628
2831,valeria,5b873ef5a053d7000478dfd2,5ba40c85636b4b0004648f28,37.8672895,-122.2590007,37.8763831,-122.25929889999998,5.0,1548454133330,1548456099255,1548456156574,1548456389184,None,1548457956916
2832,johan,5b7bcf04de751400042f8c0b,5af5e4f3fddc930004f04626,37.8702712,-122.2672541,37.874114999999996,-122.25545159999999,5.0,1548438948593,1548456012044,1548456888220,1548457767052,None,1548458684021
2833,carlos,5b78658c176ef70004b8234d,5af5e4f3fddc930004f04626,37.8702712,-122.2672541,37.8660646,-122.2492819,5.0,1548436215816,1548456006517,1548456850075,1548457004737,None,1548459560340
2834,carlos,59eec8db6d5dcf0004ee40cf,5af5e4f3fddc930004f04626,37.8702712,-122.2672541,37.8632637,-122.2642446,4.0,1548436034058,1548456002157,None,None,None,1548459024158
2835,carlos,5b877115a053d7000478e01f,5af5e4f3fddc930004f04626,37.8702712,-122.2672541,37.8642305,-122.26357200000001,,1548441045161,1548455996530,1548456776237,1548456808250,1548457870173,1548458754951
2836,johan,5ba18475ae5c0b0004302e93,5af5e4f3fddc930004f04626,37.8702712,-122.2672541,37.8726475,-122.2601948,5.0,1548432928283,1548455992478,1548456882605,None,None,1548457415245
